,Date (America/Chicago),"Maschhoff_TPLJ_RM1_C Temp shock - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C Temp (°C) - data
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - data
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_E Temp shock - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E Temp (°C) - data
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - data
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_W Temp shock - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W Temp (°C) - data
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - data
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM2_C Temp shock - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C Temp (°C) - data
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - data
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_E Temp shock - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E Temp (°C) - data
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - data
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_W Temp shock - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W Temp (°C) - data
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - data
 (MO201301-MLJQ4R57)"
90,2021-06-13,red,,green,,red,,green,,red,,green,,red,26.0,green,99.0,red,,green,,red,26.0,green,98.0
91,2021-06-14,red,,green,,red,,green,,red,,green,,red,24.0,green,99.0,red,,green,,red,25.0,green,99.0
92,2021-06-15,red,,green,,red,,green,,red,,green,,red,25.0,green,99.0,red,,green,,red,25.0,green,96.0
93,2021-06-16,red,,green,,red,,green,,red,,green,,red,26.5,green,99.0,red,,green,,red,27.0,green,99.0
94,2021-06-17,red,,green,,red,,green,,red,,green,,red,31.0,green,99.0,red,,green,,red,31.0,green,98.0
95,2021-06-18,red,,green,,red,,green,,red,,green,,red,25.5,green,99.0,red,,green,,red,26.0,green,98.0
96,2021-06-19,yellow,,green,,yellow,,green,,yellow,,green,,yellow,23.5,green,99.0,yellow,,green,,yellow,24.5,green,98.0
97,2021-06-20,red,,green,,red,,green,,red,,green,,red,23.5,green,99.0,red,,green,,yellow,24.0,green,98.0
98,2021-06-21,yellow,,green,,yellow,,green,,yellow,,green,,yellow,19.0,green,99.0,red,,green,,green,20.5,green,98.0
99,2021-06-22,red,,green,,red,,green,,red,,green,,red,21.0,green,99.0,red,,green,,yellow,22.5,green,99.0
100,2021-06-23,yellow,,green,,yellow,,green,,yellow,,green,,yellow,25.5,green,98.0,yellow,,green,,yellow,26.0,green,98.0
101,2021-06-24,green,,green,,green,,green,,green,,green,,green,25.0,green,99.0,green,,green,,green,25.5,green,99.0
102,2021-06-25,green,,green,,green,,green,,blue,,blue,,green,22.5,green,99.0,green,,green,,green,23.0,green,99.0
103,2021-06-26,blue,,blue,,green,,green,,blue,,blue,,green,20.5,green,99.0,green,,green,,green,21.5,green,98.0
104,2021-06-27,blue,,blue,,blue,,blue,,blue,,blue,,yellow,22.5,green,98.0,blue,,blue,,yellow,23.0,green,99.0
105,2021-06-28,blue,,blue,,blue,,blue,,blue,,blue,,yellow,23.5,green,99.0,blue,,blue,,green,24.0,green,99.0
106,2021-06-29,blue,,blue,,blue,,blue,,blue,,blue,,yellow,24.0,green,96.0,blue,,blue,,yellow,24.5,green,98.0
107,2021-06-30,blue,,blue,,blue,,blue,,blue,,blue,,red,24.0,green,99.0,blue,,blue,,red,24.5,green,98.0
108,2021-07-01,blue,,blue,,blue,,blue,,blue,,blue,,red,23.5,green,99.0,blue,,blue,,red,24.5,green,96.0
109,2021-07-02,blue,,blue,,blue,,blue,,blue,,blue,,red,24.0,green,99.0,blue,,blue,,red,25.0,green,99.0
110,2021-07-03,blue,,blue,,blue,,blue,,blue,,blue,,yellow,24.5,green,99.0,blue,,blue,,yellow,25.5,green,99.0
111,2021-07-04,blue,,blue,,blue,,blue,,blue,,blue,,yellow,26.5,green,99.0,blue,,blue,,yellow,27.0,green,99.0
112,2021-07-05,blue,,blue,,blue,,blue,,blue,,blue,,yellow,27.5,green,99.0,blue,,blue,,yellow,28.0,green,99.0
113,2021-07-06,blue,,blue,,blue,,blue,,blue,,blue,,yellow,27.0,green,99.0,blue,,blue,,yellow,27.0,green,99.0
114,2021-07-07,blue,,blue,,blue,,blue,,blue,,blue,,green,21.0,green,99.0,blue,,blue,,green,22.0,green,99.0
115,2021-07-08,blue,,blue,,blue,,blue,,blue,,blue,,green,20.0,green,98.0,blue,,blue,,green,21.0,green,97.0
116,2021-07-09,blue,,blue,,blue,,blue,,blue,,blue,,yellow,23.5,green,95.0,blue,,blue,,yellow,24.5,green,99.0
117,2021-07-10,blue,,blue,,blue,,blue,,blue,,blue,,green,20.5,green,99.0,blue,,blue,,green,21.5,green,98.0
118,2021-07-11,blue,,blue,,blue,,blue,,blue,,blue,,yellow,21.5,green,99.0,blue,,blue,,yellow,22.5,green,97.0
119,2021-07-12,blue,,blue,,blue,,blue,,blue,,blue,,yellow,22.0,green,99.0,blue,,blue,,yellow,22.0,green,97.0
120,2021-07-13,blue,,blue,,blue,,blue,,blue,,blue,,yellow,23.0,green,99.0,blue,,blue,,yellow,23.5,green,96.0
121,2021-07-14,blue,,blue,,blue,,blue,,blue,,blue,,green,23.0,green,99.0,blue,,blue,,green,23.5,green,99.0
122,2021-07-15,blue,,blue,,blue,,blue,,blue,,blue,,yellow,22.0,green,99.0,blue,,blue,,yellow,22.5,green,99.0
123,2021-07-16,blue,,blue,,blue,,blue,,blue,,blue,,yellow,22.0,green,99.0,blue,,blue,,yellow,22.5,green,99.0
